Rk,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Acquired,Name-additional
1,Cory Abbott,26,WSN,48.0,16,9,30,5.63,4.74,-0.25,0.12,0.00,93.0,4.76,-5,-0.5,.11,0.0,0.0,0,.470,.497,,Waivers,abbotco01
2,Albert Abreu,26,3TM,38.2,33,0,15,3.49,4.34,0.46,-0.29,0.00,100.7,3.62,1,0.1,.60,-0.1,0.3,4,.502,.500,,Traded,abreual01
3,Bryan Abreu,25,HOU,60.1,55,0,16,2.39,4.20,0.37,-0.28,0.09,98.5,3.58,8,0.9,.93,-0.2,1.3,13,.517,.506,,Amateur Free Agent,abreubr01
4,Domingo Acevedo,28,OAK,67.2,70,0,26,3.46,4.34,-0.15,-0.29,0.08,95.9,4.11,5,0.6,1.43,0.0,1.2,11,.508,.504,,Free Agency,acevedo01
5,Jason Adam,30,TBR,63.1,67,0,12,1.71,4.37,0.11,-0.29,0.17,93.2,3.86,15,1.7,1.58,0.3,2.7,21,.525,.511,$900000,Free Agency,adamja01
6,Austin Adams,31,SDP,2.1,2,0,0,0.00,4.51,0.08,-0.30,0.00,98.0,4.05,1,0.1,.20,-0.1,0.1,1,.558,.501,$925000,Traded,adamsau02
7,Joan Adon,23,WSN,64.2,14,14,53,7.38,4.34,-0.28,0.20,0.00,98.1,4.72,-19,-1.8,,-0.1,-1.2,-13,.372,.489,,,adonjo01
8,Ehire Adrianza,32,WSN,1.0,1,0,0,0.00,4.84,-0.19,-0.32,0.00,92.0,4.33,0,0.1,.00,0.0,0.0,1,.553,.500,$1500000,Free Agency,adriaeh01
9,Keegan Akin*,27,BAL,81.2,45,1,35,3.86,4.38,0.22,-0.28,0.07,102.5,4.05,2,0.2,.86,-0.2,0.8,9,.505,.501,,Amateur Draft,akinke01
10,Hanser Alberto,29,LAD,11.0,10,0,5,4.09,4.53,0.72,-0.30,0.00,108.3,3.80,0,0.0,.00,0.0,0.1,1,.496,.500,$1350000,Free Agency,alberha01
11,Jorge Alcala,26,MIN,2.1,2,0,0,0.00,4.49,0.17,-0.30,0.00,98.0,3.95,1,0.1,.69,0.0,0.1,1,.558,.501,,Traded,alcaljo01
12,Sandy Alcantara,26,MIA,228.2,32,32,67,2.64,4.60,0.10,0.21,0.00,98.0,4.61,50,5.9,,-0.2,7.8,71,.683,.536,$3800000,Traded,alcansa01
13,Jason Alexander,29,MIL,71.2,18,11,47,5.90,4.36,0.37,0.13,0.00,98.2,4.03,-15,-1.5,.48,0.0,-0.8,-8,.418,.491,,Free Agency,alexaja01
14,Scott Alexander*,32,SFG,17.1,17,4,2,1.04,4.51,-0.35,-0.24,0.33,102.4,5.07,8,0.8,1.31,0.1,1.1,9,.550,.505,,Free Agency,alexasc02
15,Tyler Alexander*,27,DET,101.0,27,17,58,5.17,4.27,0.19,0.10,0.00,99.1,4.14,-11,-1.2,.92,-0.1,-0.3,-3,.457,.493,,Amateur Draft,alexaty01
16,A.J. Alexy,24,TEX,7.0,4,0,9,11.57,4.38,0.07,-0.29,0.00,106.1,4.26,-6,-0.5,.71,0.1,-0.4,-5,.365,.497,,Traded,alexyaj01
17,Kolby Allard*,24,TEX,21.0,10,0,17,7.29,4.41,0.06,-0.20,0.27,101.1,4.47,-6,-0.7,.88,0.0,-0.5,-5,.434,.496,,Traded,allarko01
18,Cam Alldred*,25,PIT,1.0,1,0,0,0.00,3.73,0.00,-0.25,0.00,104.0,3.61,0,0.0,.65,0.0,0.0,0,.544,.500,,Amateur Draft,alldrca01
19,Logan Allen*,25,2TM,7.2,7,0,5,5.87,4.23,0.52,-0.28,0.00,101.5,3.47,-2,-0.2,.97,0.0,-0.1,-1,.470,.499,,Waivers,allenlo01
20,Yency Almonte,28,LAD,35.1,33,0,4,1.02,4.37,0.47,-0.29,0.00,104.4,3.77,11,1.2,1.08,0.0,1.5,14,.535,.507,,Free Agency,almonye01
