"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Aaron Nola","PHI","11","13","0","32","32","205.0","10.32","1.27","0.83",".289","73.0%","43.6%","9.8%","92.9","3.25","2.74","2.58","2.77","6.3","16149","605400"
"Carlos Rodon","SFG","14","8","0","31","31","178.0","11.98","2.63","0.61",".293","75.1%","34.1%","6.5%","95.5","2.88","2.64","2.25","2.91","6.2","16137","607074"
"Justin Verlander","HOU","18","4","0","28","28","175.0","9.51","1.49","0.62",".240","80.5%","37.9%","6.2%","95.1","1.75","2.66","2.49","3.23","6.1","8700","434378"
"Sandy Alcantara","MIA","14","9","0","32","32","228.2","8.15","1.97","0.63",".262","78.8%","53.4%","8.5%","98.0","2.28","2.92","2.99","3.29","5.7","18684","645261"
"Kevin Gausman","TOR","12","10","0","31","31","174.2","10.56","1.44","0.77",".363","74.0%","39.2%","8.5%","94.9","3.35","3.34","2.38","2.75","5.7","14107","592332"
"Shohei Ohtani","LAA","15","9","0","28","28","166.0","11.87","2.39","0.76",".289","83.1%","41.9%","9.3%","97.4","2.33","2.68","2.40","2.65","5.6","19755","660271"
"Max Fried","ATL","14","7","0","30","30","185.1","8.26","1.55","0.58",".280","78.2%","51.2%","7.8%","94.0","2.48","2.85","2.70","3.09","5.0","13743","608331"
"Spencer Strider","ATL","11","5","0","31","20","131.2","13.81","3.08","0.48",".292","74.1%","40.3%","6.8%","98.1","2.67","2.39","1.83","2.30","4.9","27498","675911"
"Shane Bieber","CLE","13","8","0","31","31","200.0","8.91","1.62","0.81",".287","75.8%","48.2%","10.4%","91.5","2.88","3.51","2.87","2.98","4.9","19427","669456"
"Corbin Burnes","MIL","12","8","0","33","33","202.0","10.83","2.27","1.02",".259","76.8%","47.0%","14.1%","96.2","2.94","3.08","3.14","2.85","4.6","19361","669203"
"Framber Valdez","HOU","17","6","0","31","31","201.1","8.67","3.00","0.49",".285","75.7%","66.5%","12.5%","94.0","2.82","3.31","3.06","2.99","4.4","17295","664285"
"Dylan Cease","CHW","14","8","0","32","32","184.0","11.10","3.82","0.78",".260","82.3%","38.8%","8.4%","96.9","2.20","2.70","3.10","3.50","4.4","18525","656302"
"Max Scherzer","NYM","11","5","0","23","23","145.1","10.71","1.49","0.81",".276","83.3%","31.1%","7.5%","94.1","2.29","2.87","2.62","3.23","4.4","3137","453286"
"Zac Gallen","ARI","12","4","0","31","31","184.0","9.39","2.30","0.73",".237","78.0%","46.0%","9.1%","93.9","2.54","3.17","3.05","3.31","4.3","19291","668678"
"Yu Darvish","SDP","16","8","0","30","30","194.2","9.11","1.71","1.02",".250","78.2%","36.9%","9.6%","95.0","3.10","3.49","3.31","3.58","4.2","13074","506433"
"Logan Webb","SFG","15","9","0","32","32","192.1","7.63","2.29","0.51",".293","71.8%","56.7%","8.3%","92.4","2.90","3.59","3.03","3.31","4.2","17995","657277"
"Zack Wheeler","PHI","12","7","0","26","26","153.0","9.59","2.00","0.76",".287","77.1%","45.9%","9.8%","96.1","2.82","3.10","2.89","3.06","4.1","10310","554430"
"Alek Manoah","TOR","16","7","0","31","31","196.2","8.24","2.33","0.73",".244","82.6%","37.5%","7.1%","93.9","2.24","3.31","3.35","3.97","4.1","26410","666201"
"Tyler Anderson","LAD","15","5","0","30","28","178.2","6.95","1.71","0.71",".256","77.8%","40.1%","6.4%","90.7","2.57","3.10","3.31","4.10","4.0","12880","542881"
"Jose Quintana","- - -","6","7","0","32","32","165.2","7.44","2.55","0.43",".302","74.2%","46.4%","5.3%","91.3","2.93","3.86","2.99","3.72","4.0","11423","500779"
"Martin Perez","TEX","12","8","0","32","32","196.1","7.75","3.16","0.50",".295","77.0%","51.4%","6.5%","92.9","2.89","3.59","3.27","3.80","3.8","6902","527048"
"Clayton Kershaw","LAD","12","3","0","22","22","126.1","9.76","1.64","0.71",".268","79.4%","47.1%","9.1%","90.8","2.28","2.51","2.57","2.83","3.8","2036","477132"
"Patrick Sandoval","LAA","6","9","0","27","27","148.2","9.14","3.63","0.48",".316","76.8%","47.4%","6.3%","93.2","2.91","3.91","3.09","3.67","3.8","19447","663776"
"Luis Castillo","- - -","8","6","0","25","25","150.1","10.00","2.69","0.78",".275","75.3%","46.9%","10.0%","97.1","2.99","3.31","3.07","3.23","3.7","15689","622491"
"Alex Cobb","SFG","7","8","0","28","28","149.2","9.08","2.59","0.54",".336","68.0%","61.5%","10.2%","95.3","3.73","3.15","2.80","2.89","3.7","6562","502171"
"Blake Snell","SDP","8","10","0","24","24","128.0","12.02","3.59","0.77",".307","74.7%","36.6%","8.3%","95.7","3.38","3.19","2.80","3.21","3.7","13543","605483"
"Nestor Cortes","NYY","12","4","0","28","28","158.1","9.27","2.16","0.91",".232","82.8%","33.5%","8.2%","91.7","2.44","2.70","3.13","3.63","3.6","17874","641482"
"Triston McKenzie","CLE","11","11","0","31","30","191.1","8.94","2.07","1.18",".237","80.3%","32.7%","10.3%","92.7","2.96","3.54","3.59","3.77","3.6","18000","663474"
"Shane McClanahan","TBR","12","8","0","28","28","166.1","10.50","2.06","1.03",".251","80.5%","50.2%","15.7%","97.0","2.54","2.79","3.00","2.60","3.5","21483","663556"
"Brandon Woodruff","MIL","13","4","0","27","27","153.1","11.15","2.47","1.06",".285","78.6%","37.6%","11.0%","96.4","3.05","3.15","3.08","3.14","3.5","16162","605540"
"Joe Musgrove","SDP","10","7","0","30","30","181.0","9.15","2.09","1.09",".276","79.8%","44.6%","12.3%","92.9","2.93","3.27","3.59","3.47","3.5","12970","605397"
"Cristian Javier","HOU","11","9","0","30","25","148.2","11.74","3.15","1.03",".228","83.6%","26.0%","9.1%","93.9","2.54","2.43","3.16","3.53","3.4","17606","664299"
"Merrill Kelly","ARI","13","8","0","33","33","200.1","7.95","2.74","0.94",".269","76.3%","42.8%","9.9%","92.4","3.37","3.62","3.65","3.86","3.3","11156","518876"
"Gerrit Cole","NYY","13","8","0","33","33","200.2","11.53","2.24","1.48",".268","78.2%","42.4%","16.8%","97.8","3.50","3.31","3.47","2.77","3.3","13125","543037"
